FIPS,ba,county_name,state
48011,p48,armstrong,TX
48017,p48,bailey,TX
48065,p48,carson,TX
48069,p48,castro,TX
48079,p48,cochran,TX
48087,p48,collingsworth,TX
48111,p48,dallam,TX
48117,p48,deaf smith,TX
48129,p48,donley,TX
48153,p48,floyd,TX
48165,p48,gaines,TX
48169,p48,garza,TX
48179,p48,gray,TX
48189,p48,hale,TX
48195,p48,hansford,TX
48205,p48,hartley,TX
48211,p48,hemphill,TX
48219,p48,hockley,TX
48233,p48,hutchinson,TX
48279,p48,lamb,TX
48295,p48,lipscomb,TX
48303,p48,lubbock,TX
48305,p48,lynn,TX
48341,p48,moore,TX
48357,p48,ochiltree,TX
48359,p48,oldham,TX
48369,p48,parmer,TX
48375,p48,potter,TX
48381,p48,randall,TX
48393,p48,roberts,TX
48421,p48,sherman,TX
48437,p48,swisher,TX
48445,p48,terry,TX
48483,p48,wheeler,TX
48501,p48,yoakum,TX
48037,p57,bowie,TX
48063,p57,camp,TX
48067,p57,cass,TX
48183,p57,gregg,TX
48203,p57,harrison,TX
48315,p57,marion,TX
48343,p57,morris,TX
48365,p57,panola,TX
48449,p57,titus,TX
48459,p57,upshur,TX
48141,p59,el paso,TX
48023,p60,baylor,TX
48033,p60,borden,TX
48045,p60,briscoe,TX
48075,p60,childress,TX
48101,p60,cottle,TX
48107,p60,crosby,TX
48115,p60,dawson,TX
48125,p60,dickens,TX
48151,p60,fisher,TX
48155,p60,foard,TX
48191,p60,hall,TX
48197,p60,hardeman,TX
48207,p60,haskell,TX
48227,p60,howard,TX
48253,p60,jones,TX
48263,p60,kent,TX
48269,p60,king,TX
48275,p60,knox,TX
48335,p60,mitchell,TX
48345,p60,motley,TX
48353,p60,nolan,TX
48415,p60,scurry,TX
48433,p60,stonewall,TX
48487,p60,wilbarger,TX
48043,p61,brewster,TX
48059,p61,callahan,TX
48081,p61,coke,TX
48083,p61,coleman,TX
48095,p61,concho,TX
48105,p61,crockett,TX
48109,p61,culberson,TX
48229,p61,hudspeth,TX
48235,p61,irion,TX
48243,p61,jeff davis,TX
48271,p61,kinney,TX
48371,p61,pecos,TX
48377,p61,presidio,TX
48389,p61,reeves,TX
48399,p61,runnels,TX
48413,p61,schleicher,TX
48431,p61,sterling,TX
48435,p61,sutton,TX
48441,p61,taylor,TX
48443,p61,terrell,TX
48451,p61,tom green,TX
48465,p61,val verde,TX
48003,p62,andrews,TX
48103,p62,crane,TX
48135,p62,ector,TX
48173,p62,glasscock,TX
48301,p62,loving,TX
48317,p62,martin,TX
48329,p62,midland,TX
48383,p62,reagan,TX
48461,p62,upton,TX
48475,p62,ward,TX
48495,p62,winkler,TX
48001,p63,anderson,TX
48005,p63,angelina,TX
48009,p63,archer,TX
48027,p63,bell,TX
48035,p63,bosque,TX
48049,p63,brown,TX
48073,p63,cherokee,TX
48077,p63,clay,TX
48085,p63,collin,TX
48093,p63,comanche,TX
48097,p63,cooke,TX
48099,p63,coryell,TX
48113,p63,dallas,TX
48119,p63,delta,TX
48121,p63,denton,TX
48133,p63,eastland,TX
48139,p63,ellis,TX
48143,p63,erath,TX
48145,p63,falls,TX
48147,p63,fannin,TX
48159,p63,franklin,TX
48161,p63,freestone,TX
48181,p63,grayson,TX
48193,p63,hamilton,TX
48213,p63,henderson,TX
48217,p63,hill,TX
48221,p63,hood,TX
48223,p63,hopkins,TX
48225,p63,houston,TX
48231,p63,hunt,TX
48237,p63,jack,TX
48251,p63,johnson,TX
48257,p63,kaufman,TX
48277,p63,lamar,TX
48281,p63,lampasas,TX
48289,p63,leon,TX
48293,p63,limestone,TX
48307,p63,mcculloch,TX
48309,p63,mclennan,TX
48313,p63,madison,TX
48331,p63,milam,TX
48333,p63,mills,TX
48337,p63,montague,TX
48349,p63,navarro,TX
48363,p63,palo pinto,TX
48367,p63,parker,TX
48379,p63,rains,TX
48387,p63,red river,TX
48395,p63,robertson,TX
48397,p63,rockwall,TX
48401,p63,rusk,TX
48411,p63,san saba,TX
48417,p63,shackelford,TX
48423,p63,smith,TX
48425,p63,somervell,TX
48429,p63,stephens,TX
48439,p63,tarrant,TX
48447,p63,throckmorton,TX
48467,p63,van zandt,TX
48485,p63,wichita,TX
48497,p63,wise,TX
48499,p63,wood,TX
48503,p63,young,TX
48015,p64,austin,TX
48019,p64,bandera,TX
48021,p64,bastrop,TX
48031,p64,blanco,TX
48041,p64,brazos,TX
48051,p64,burleson,TX
48053,p64,burnet,TX
48055,p64,caldwell,TX
48089,p64,colorado,TX
48091,p64,comal,TX
48123,p64,dewitt,TX
48137,p64,edwards,TX
48149,p64,fayette,TX
48171,p64,gillespie,TX
48177,p64,gonzales,TX
48185,p64,grimes,TX
48187,p64,guadalupe,TX
48209,p64,hays,TX
48259,p64,kendall,TX
48265,p64,kerr,TX
48267,p64,kimble,TX
48285,p64,lavaca,TX
48287,p64,lee,TX
48299,p64,llano,TX
48319,p64,mason,TX
48327,p64,menard,TX
48385,p64,real,TX
48453,p64,travis,TX
48471,p64,walker,TX
48473,p64,waller,TX
48477,p64,washington,TX
48491,p64,williamson,TX
48007,p65,aransas,TX
48013,p65,atascosa,TX
48025,p65,bee,TX
48029,p65,bexar,TX
48047,p65,brooks,TX
48057,p65,calhoun,TX
48061,p65,cameron,TX
48127,p65,dimmit,TX
48131,p65,duval,TX
48163,p65,frio,TX
48175,p65,goliad,TX
48215,p65,hidalgo,TX
48239,p65,jackson,TX
48247,p65,jim hogg,TX
48249,p65,jim wells,TX
48255,p65,karnes,TX
48261,p65,kenedy,TX
48273,p65,kleberg,TX
48283,p65,la salle,TX
48297,p65,live oak,TX
48311,p65,mcmullen,TX
48321,p65,matagorda,TX
48323,p65,maverick,TX
48325,p65,medina,TX
48355,p65,nueces,TX
48391,p65,refugio,TX
48409,p65,san patricio,TX
48427,p65,starr,TX
48463,p65,uvalde,TX
48469,p65,victoria,TX
48479,p65,webb,TX
48481,p65,wharton,TX
48489,p65,willacy,TX
48493,p65,wilson,TX
48505,p65,zapata,TX
48507,p65,zavala,TX
48071,p66,chambers,TX
48199,p66,hardin,TX
48241,p66,jasper,TX
48245,p66,jefferson,TX
48291,p66,liberty,TX
48339,p66,montgomery,TX
48347,p66,nacogdoches,TX
48351,p66,newton,TX
48361,p66,orange,TX
48373,p66,polk,TX
48403,p66,sabine,TX
48405,p66,san augustine,TX
48407,p66,san jacinto,TX
48419,p66,shelby,TX
48455,p66,trinity,TX
48457,p66,tyler,TX
48039,p67,brazoria,TX
48157,p67,fort bend,TX
48167,p67,galveston,TX
48201,p67,harris,TX
