location,value
48003,77246.4
48005,122760.0
48007,77035.2
48009,77246.4
48013,77246.4
48015,77035.2
48017,77246.4
48019,77035.2
48021,77035.2
48023,77035.2
48025,77035.2
48029,77035.2
48031,77035.2
48033,77246.4
48035,122760.0
48037,77035.2
48039,77035.2
48041,77035.2
48043,77246.4
48045,77246.4
48051,77035.2
48053,77035.2
48059,77246.4
48063,77035.2
48065,77035.2
48069,77246.4
48075,77246.4
48079,77246.4
48081,77035.2
48083,77246.4
48085,77035.2
48087,77246.4
48089,77035.2
48091,77035.2
48093,0.0
48095,77035.2
48097,77035.2
48099,77035.2
48101,77035.2
48103,77246.4
48107,77035.2
48109,77246.4
48111,77246.4
48117,77246.4
48121,77035.2
48123,77035.2
48125,77246.4
48127,77246.4
48129,77035.2
48133,77246.4
48135,77246.4
48139,77035.2
48141,77246.4
48143,77035.2
48145,77035.2
48151,77035.2
48155,77246.4
48157,122760.0
48161,122760.0
48163,77035.2
48165,77246.4
48167,122760.0
48169,77246.4
48171,77246.4
48173,77246.4
48175,77035.2
48177,77035.2
48183,77035.2
48185,122760.0
48187,0.0
48195,77246.4
48205,0.0
48207,0.0
48209,77035.2
48211,77035.2
48215,0.0
48217,0.0
48219,77035.2
48221,77035.2
48229,77035.2
48231,77035.2
48233,77035.2
48235,77246.4
48237,77246.4
48247,77246.4
48249,77035.2
48255,77035.2
48257,77035.2
48261,77246.4
48265,77246.4
48267,77246.4
48269,77246.4
48271,77246.4
48273,77035.2
48279,77035.2
48281,77035.2
48285,77035.2
48295,77035.2
48297,77246.4
48299,77035.2
48301,77246.4
48303,77035.2
48305,77035.2
48307,77246.4
48309,77035.2
48311,77246.4
48321,77035.2
48323,77035.2
48331,77035.2
48333,77035.2
48337,122760.0
48345,77035.2
48347,77035.2
48349,77035.2
48353,77035.2
48355,77035.2
48357,77246.4
48363,77035.2
48367,77035.2
48369,77246.4
48371,77246.4
48377,77035.2
48379,122760.0
48381,77035.2
48383,77246.4
48385,77246.4
48387,77035.2
48389,77035.2
48391,77035.2
48393,77246.4
48397,77035.2
48399,77246.4
48401,77035.2
48403,0.0
48405,77246.4
48407,77035.2
48409,77035.2
48411,77035.2
48413,77246.4
48415,77246.4
48417,77035.2
48425,77035.2
48427,77035.2
48431,77246.4
48433,77246.4
48435,77246.4
48437,77035.2
48439,122760.0
48445,77035.2
48447,77246.4
48449,77035.2
48451,77246.4
48453,77035.2
48455,77246.4
48461,77035.2
48463,77246.4
48465,0.0
48467,122760.0
48469,77035.2
48473,77035.2
48475,0.0
48479,77035.2
48481,77246.4
48485,0.0
48487,77246.4
48489,77035.2
48495,77246.4
48501,77035.2
48503,77246.4
48505,77035.2
48507,77246.4
